Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
roadway,50003346,no,yes,2020/8/17,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Vegetarian
both,40864264,yes,yes,2020/6/22,,,7,A,Manhattan,10I,"Single service item reused, improperly stored, dispensed; not used when required.",American
sidewalk,40726811,yes,no,2020/8/4,,,13,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
sidewalk,41665068,yes,no,2020/6/20,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Chicken
both,50100587,yes,yes,2020/6/21,,,12,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
both,41462643,yes,yes,2020/6/20,,,13,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Thai
roadway,40511904,no,yes,2020/7/1,,,10,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Irish
both,41065858,yes,yes,2020/6/23,,,12,A,Manhattan,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Seafood
both,41626713,yes,yes,2020/6/22,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Turkish
both,41310853,yes,yes,2020/6/28,,,13,A,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Asian/Asian Fusion
sidewalk,41006765,yes,no,2020/7/10,,,38,C,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Mexican
sidewalk,50102340,yes,no,2021/3/10,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Bakery Products/Desserts
roadway,41267566,no,yes,2020/6/21,,,11,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,410573360,yes,no,2020/6/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50006411,yes,no,2020/8/5,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese
sidewalk,40799210,yes,no,2020/6/21,,,13,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Thai
both,40402231,yes,yes,2020/6/21,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Irish
both,50103216,yes,yes,2020/8/18,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Chinese
both,41353118,yes,yes,2020/8/5,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
both,50107388,yes,yes,2021/3/11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50103884,yes,yes,2020/6/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50018800,no,yes,2020/6/23,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50080735,yes,no,2020/8/17,,,10,A,Brooklyn,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Tex-Mex
sidewalk,40398440,yes,no,2020/6/20,,,12,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
sidewalk,41428414,yes,no,2020/6/20,,,13,A,Brooklyn,09C,Food contact surface not properly maintained.,Thai
sidewalk,40366222,yes,no,2020/6/20,,,13,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Irish
both,50090719,yes,yes,2020/6/22,,,33,C,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Greek
both,50097865,yes,yes,2020/6/23,,,12,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Mediterranean
sidewalk,41647741,yes,no,2020/6/23,,,13,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
sidewalk,50095711,yes,no,2020/8/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40813634,yes,yes,2020/6/23,,,25,B,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Ethiopian
both,50100510,yes,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41626598,yes,yes,2020/8/6,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,729458,yes,no,2020/6/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50083673,yes,yes,2020/6/23,,,13,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Vegetarian
sidewalk,41711586,yes,no,2020/6/22,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50077004,yes,no,2020/6/22,,,11,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50049504,yes,yes,2020/8/19,,,11,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Salads
both,50067828,yes,yes,2020/6/24,,,4,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese/Japanese
roadway,50097296,no,yes,2020/8/6,,,10,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Italian
sidewalk,41138581,yes,no,2020/8/6,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches
both,694583,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41098752,yes,no,2020/6/23,,,12,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Polish
sidewalk,50033846,yes,no,2020/6/23,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Bakery Products/Desserts
sidewalk,41629759,yes,no,2020/6/25,,,10,A,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Latin American
both,41374934,yes,yes,2020/6/24,,,10,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
sidewalk,50012353,yes,no,2020/8/18,,,7,A,Queens,02B,Hot food item not held at or above 140º F.,Bagels/Pretzels
sidewalk,50002453,yes,no,2021/4/27,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",French
sidewalk,50049611,yes,no,2020/6/25,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches
sidewalk,41709840,yes,no,2020/6/20,,,20,B,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
both,1414838,yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50105735,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50089270,yes,no,2020/6/27,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Eastern European
both,40513031,yes,yes,2020/6/22,,,8,A,Manhattan,10I,"Single service item reused, improperly stored, dispensed; not used when required.",American
both,50038380,yes,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50067074,yes,yes,2020/6/28,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Tapas
sidewalk,41384201,yes,no,2020/6/23,,,23,B,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Italian
openstreets,50103003,no,no,2020/8/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41496506,yes,yes,2020/6/26,,,11,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
sidewalk,625910,yes,no,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41601943,yes,no,2020/6/21,,,13,A,Queens,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,American
sidewalk,50037266,yes,no,2020/8/7,,,3,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50097296,yes,yes,2020/8/7,,,10,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Italian
both,50037266,yes,yes,2020/8/7,,,3,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50037266,yes,yes,2020/8/7,,,3,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,41563537,yes,yes,2020/6/20,,,26,B,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Italian
roadway,50004144,no,yes,2020/6/22,,,18,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,50037266,yes,yes,2020/8/7,,,3,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
sidewalk,41296528,yes,no,2020/8/7,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
both,41651044,yes,yes,2020/6/24,,,9,A,Queens,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
sidewalk,40368809,yes,no,2020/6/23,,,12,A,Queens,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
sidewalk,41719922,yes,no,2020/6/22,,,13,A,Manhattan,02B,Hot food item not held at or above 140º F.,French
sidewalk,40799384,yes,no,2020/6/24,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Mexican
both,50040802,yes,yes,2020/8/19,,,6,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Salads
sidewalk,50067418,yes,no,2020/8/8,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches/Salads/Mixed Buffet
sidewalk,50044051,yes,no,2020/8/8,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Sandwiches/Salads/Mixed Buffet
roadway,40367728,no,yes,2020/6/20,,,5,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Italian
both,41233476,yes,yes,2020/6/23,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
sidewalk,50040061,yes,no,2020/6/22,,,17,B,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,50054344,yes,yes,2020/6/20,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,41328516,yes,yes,2020/6/26,,,2,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
sidewalk,50107075,yes,no,2021/3/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105880,yes,yes,2021/3/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,50094579,no,no,2020/8/28,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Asian/Asian Fusion
both,41633093,yes,yes,2020/7/18,,,12,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
roadway,FA02011627,no,yes,2020/6/23,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50018027,yes,yes,2020/6/22,,,11,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,American
roadway,41672199,no,yes,2020/6/24,,,12,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,40783748,yes,yes,2020/6/20,,,12,A,Queens,10H,Proper sanitization not provided for utensil ware washing operation.,Pizza
both,50012277,yes,yes,2020/6/27,,,8,A,Queens,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Peruvian
roadway,40387357,no,yes,2020/6/20,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
sidewalk,50103157,yes,no,2020/8/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40654823,yes,yes,2020/6/23,,,13,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
sidewalk,50018098,yes,no,2020/6/19,,,13,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Chinese
both,40920992,yes,yes,2020/6/26,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50080319,yes,yes,2020/6/21,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Pizza
sidewalk,41707407,yes,no,2020/6/20,,,10,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
both,41543018,yes,yes,2020/6/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50080702,yes,yes,2020/6/26,,,12,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Caribbean
both,50077272,yes,yes,2020/6/22,,,12,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Australian
both,50015343,yes,yes,2020/6/23,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,40372445,yes,yes,2020/6/22,,,27,B,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Greek
both,50094579,yes,yes,2020/6/23,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Asian/Asian Fusion
both,41648523,yes,yes,2020/6/26,,,13,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Spanish
sidewalk,50013398,yes,no,2020/6/22,,,12,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Italian
both,50032742,yes,yes,2020/6/21,,,2,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,83-3048377,yes,yes,2020/6/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105678,yes,yes,2020/8/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,270296296,yes,no,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40592117,yes,yes,2020/6/22,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50101674,yes,yes,2020/6/22,,,12,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Pizza
sidewalk,50099264,yes,no,2020/6/19,,,24,B,Staten Island,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
both,41457451,yes,yes,2020/6/20,,,6,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
sidewalk,41244008,yes,no,2020/6/19,,,13,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Bottled Beverages
roadway,50085250,no,yes,2020/6/19,,,9,A,Queens,10J,Hand wash sign not posted,Italian
sidewalk,41142173,yes,no,2020/6/29,,,9,A,Brooklyn,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Latin American
both,50095532,yes,yes,2020/6/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40570910,yes,yes,2020/6/21,,,12,A,Bronx,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
both,50012808,yes,yes,2020/6/25,,,10,A,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,Latin American
both,41273802,yes,yes,2020/6/21,,,4,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50001785,yes,yes,2021/3/14,,,10,A,Queens,02B,Hot food item not held at or above 140º F.,Sandwiches
both,50075788,yes,yes,2020/9/30,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50089355,yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50080728,yes,yes,2020/6/20,,,13,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Coffee/Tea
both,41405205,yes,yes,2020/6/21,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Mexican
roadway,4123245,no,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50019204,yes,yes,2020/6/26,,,5,A,Bronx,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,50015395,yes,yes,2020/6/21,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Thai
both,50033152,yes,yes,2020/6/23,,,7,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,Californian
both,50052591,yes,yes,2020/8/19,,,12,A,Queens,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Japanese
both,41636080,yes,yes,2020/6/21,,,7,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,50065026,yes,no,2020/6/20,,,11,A,Manhattan,09C,Food contact surface not properly maintained.,American
both,50075416,yes,yes,2020/6/25,,,9,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Tex-Mex
both,50081406,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50061322,yes,yes,2020/6/19,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Southeast Asian
both,50102864,yes,yes,2020/6/22,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,40708213,no,yes,2020/6/26,,,12,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
sidewalk,50010210,yes,no,2020/6/23,,,11,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Japanese
both,Not available (New Business Opened 11/9/2019),yes,yes,2020/6/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50044483,yes,yes,2020/6/19,,,11,A,Manhattan,09C,Food contact surface not properly maintained.,French
both,41449587,yes,yes,2020/6/20,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41435352,yes,yes,2020/6/27,,,11,A,Queens,04M,Live roaches present in facility's food and/or non-food areas.,Peruvian
sidewalk,B0889383,yes,no,2020/6/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41694453,yes,no,2020/6/19,,,7,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50107645,yes,yes,2021/3/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41645205,yes,no,2020/6/20,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,40576150,yes,yes,2020/6/24,,,13,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,Italian
both,40887371,yes,yes,2020/6/25,,,13,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41700209,yes,yes,2020/6/29,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
both,50101928,yes,yes,2020/6/23,,,13,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Latin American
sidewalk,41554120,yes,no,2020/6/24,,,10,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Italian
both,50040292,yes,yes,2020/8/19,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,50080683,yes,no,2020/6/20,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
both,41056164,yes,yes,2020/6/22,,,41,C,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
both,50059347,yes,yes,2020/6/23,,,12,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Mexican
both,41219088,yes,yes,2020/6/25,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41380675,yes,yes,2020/6/19,,,8,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
both,50093967,yes,yes,2020/6/19,,,9,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Italian
sidewalk,40864834,yes,no,2020/6/24,,,13,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
